,moves,earned_free_move,won,invalid,points,player,game_id
0,3,True,0,0,0,north,AYO-79391
1,4,True,0,0,20,north,AYO-79391
2,5,True,0,0,,north,AYO-79391
3,6,True,0,0,,north,AYO-79391
4,2,True,0,0,,north,AYO-79391
5,1,,0,0,,north,AYO-79391
6,5,,0,0,,north,AYO-79391
7,6,,0,0,,north,AYO-79391
8,2,,0,0,,north,AYO-79391
9,4,,0,0,,north,AYO-79391
10,5,,0,0,,north,AYO-79391
11,6,,0,0,,north,AYO-79391
12,3,,0,0,,north,AYO-79391
13,4,,0,0,,north,AYO-79391
14,5,,0,0,,north,AYO-79391
15,6,,1,0,,north,AYO-79391
0,2,True,0,0,0,south,AYO-79391
1,3,True,0,0,28,south,AYO-79391
2,1,True,0,0,,south,AYO-79391
3,6,True,0,0,,south,AYO-79391
4,4,True,0,0,,south,AYO-79391
5,3,True,0,0,,south,AYO-79391
6,5,True,0,0,,south,AYO-79391
7,4,True,0,0,,south,AYO-79391
8,5,True,0,0,,south,AYO-79391
9,2,True,0,0,,south,AYO-79391
10,6,,0,0,,south,AYO-79391
11,5,,0,0,,south,AYO-79391
12,6,,0,0,,south,AYO-79391
13,2,,0,0,,south,AYO-79391
14,3,,0,0,,south,AYO-79391
15,4,,0,0,,south,AYO-79391
16,5,,0,0,,south,AYO-79391
17,6,,0,0,,south,AYO-79391
18,2,,0,0,,south,AYO-79391
19,3,,0,0,,south,AYO-79391
